participant,domain,A,B,C,D,rating
14,living,1,1,1,0,6
14,living,1,1,1,1,6
15,living,0,0,0,0,1
15,living,0,0,0,1,0
15,living,0,0,1,0,0
15,living,0,0,1,1,3
15,living,0,1,0,0,0
15,living,0,1,0,1,0
15,living,0,1,1,0,2
15,living,0,1,1,1,0
15,living,1,0,0,0,2
15,living,1,0,0,1,1
15,living,1,0,1,0,0
15,living,1,0,1,1,1
15,living,1,1,0,0,4
15,living,1,1,0,1,4
15,living,1,1,1,0,5
15,living,1,1,1,1,6
16,living,0,0,0,0,0
16,living,0,0,0,1,0
16,living,0,0,1,0,0
16,living,0,0,1,1,0
16,living,0,1,0,0,0
16,living,0,1,0,1,0
16,living,0,1,1,0,0
16,living,0,1,1,1,0
16,living,1,0,0,0,0
16,living,1,0,0,1,0
16,living,1,0,1,0,0
16,living,1,0,1,1,1
16,living,1,1,0,0,0
16,living,1,1,0,1,0
16,living,1,1,1,0,0
16,living,1,1,1,1,6
17,living,0,0,0,0,0
17,living,0,0,0,1,3
17,living,0,0,1,0,3
17,living,0,0,1,1,3
17,living,0,1,0,0,0
17,living,0,1,0,1,3
17,living,0,1,1,0,3
17,living,0,1,1,1,6
17,living,1,0,0,0,3
17,living,1,0,0,1,4
17,living,1,0,1,0,3
17,living,1,0,1,1,6
17,living,1,1,0,0,3
17,living,1,1,0,1,6
17,living,1,1,1,0,5
17,living,1,1,1,1,6
18,living,0,0,0,0,0
18,living,0,0,0,1,0
18,living,0,0,1,0,3
18,living,0,0,1,1,6
18,living,0,1,0,0,0
18,living,0,1,0,1,1
18,living,0,1,1,0,4
18,living,0,1,1,1,6
18,living,1,0,0,0,0
18,living,1,0,0,1,0
18,living,1,0,1,0,6
18,living,1,0,1,1,5
18,living,1,1,0,0,1
18,living,1,1,0,1,0
18,living,1,1,1,0,4
18,living,1,1,1,1,6
19,living,0,0,0,0,0
19,living,0,0,0,1,0
19,living,0,0,1,0,1
19,living,0,0,1,1,4
19,living,0,1,0,0,0
19,living,0,1,0,1,0
19,living,0,1,1,0,3
19,living,0,1,1,1,4
19,living,1,0,0,0,0
19,living,1,0,0,1,2
19,living,1,0,1,0,3
19,living,1,0,1,1,3
19,living,1,1,0,0,0
19,living,1,1,0,1,3
19,living,1,1,1,0,6
19,living,1,1,1,1,6
20,living,0,0,0,0,0
20,living,0,0,0,1,0
20,living,0,0,1,0,2
20,living,0,0,1,1,3
20,living,0,1,0,0,1
20,living,0,1,0,1,1
20,living,0,1,1,0,2
20,living,0,1,1,1,4
20,living,1,0,0,0,0
20,living,1,0,0,1,1
20,living,1,0,1,0,4
20,living,1,0,1,1,3
20,living,1,1,0,0,0
20,living,1,1,0,1,0
20,living,1,1,1,0,4
20,living,1,1,1,1,6
21,living,0,0,0,0,0
21,living,0,0,0,1,1
21,living,0,0,1,0,0
21,living,0,0,1,1,2
21,living,0,1,0,0,0
21,living,0,1,0,1,2
21,living,0,1,1,0,3
21,living,0,1,1,1,4
21,living,1,0,0,0,0
21,living,1,0,0,1,1
21,living,1,0,1,0,3
21,living,1,0,1,1,3
21,living,1,1,0,0,2
21,living,1,1,0,1,3
21,living,1,1,1,0,4
21,living,1,1,1,1,6
22,living,0,0,0,0,0
22,living,0,0,0,1,2
22,living,0,0,1,0,1
22,living,0,0,1,1,3
22,living,0,1,0,0,1
22,living,0,1,0,1,3
22,living,0,1,1,0,2
22,living,0,1,1,1,3
22,living,1,0,0,0,1
22,living,1,0,0,1,3
22,living,1,0,1,0,1
22,living,1,0,1,1,5
22,living,1,1,0,0,3
22,living,1,1,0,1,5
22,living,1,1,1,0,4
22,living,1,1,1,1,6
23,living,0,0,0,0,0
23,living,0,0,0,1,2
23,living,0,0,1,0,2
23,living,0,0,1,1,1
23,living,0,1,0,0,1
23,living,0,1,0,1,3
23,living,0,1,1,0,1
23,living,0,1,1,1,1
23,living,1,0,0,0,3
23,living,1,0,0,1,3
23,living,1,0,1,0,3
23,living,1,0,1,1,4
23,living,1,1,0,0,3
23,living,1,1,0,1,4
23,living,1,1,1,0,5
23,living,1,1,1,1,6
24,living,0,0,0,0,0
24,living,0,0,0,1,3
24,living,0,0,1,0,0
24,living,0,0,1,1,0
24,living,0,1,0,0,0
24,living,0,1,0,1,0
24,living,0,1,1,0,0
24,living,0,1,1,1,0
24,living,1,0,0,0,3
24,living,1,0,0,1,3
24,living,1,0,1,0,3
24,living,1,0,1,1,5
24,living,1,1,0,0,3
24,living,1,1,0,1,5
24,living,1,1,1,0,5
24,living,1,1,1,1,6
25,living,0,0,0,0,0
25,living,0,0,0,1,0
25,living,0,0,1,0,1
25,living,0,0,1,1,0
25,living,0,1,0,0,0
25,living,0,1,0,1,1
25,living,0,1,1,0,1
25,living,0,1,1,1,0
25,living,1,0,0,0,0
25,living,1,0,0,1,6
25,living,1,0,1,0,5
25,living,1,0,1,1,0
25,living,1,1,0,0,5
25,living,1,1,0,1,5
25,living,1,1,1,0,6
25,living,1,1,1,1,6
26,living,0,0,0,0,0
26,living,0,0,0,1,0
26,living,0,0,1,0,4
26,living,0,0,1,1,3
26,living,0,1,0,0,0
26,living,0,1,0,1,1
26,living,0,1,1,0,3
26,living,0,1,1,1,5
26,living,1,0,0,0,0
26,living,1,0,0,1,4
26,living,1,0,1,0,5
26,living,1,0,1,1,5
26,living,1,1,0,0,0
26,living,1,1,0,1,0
26,living,1,1,1,0,6
26,living,1,1,1,1,6
27,living,0,0,0,0,0
27,living,0,0,0,1,0
27,living,0,0,1,0,3
27,living,0,0,1,1,1
27,living,0,1,0,0,0
27,living,0,1,0,1,4
27,living,0,1,1,0,2
27,living,0,1,1,1,4
27,living,1,0,0,0,2
27,living,1,0,0,1,1
27,living,1,0,1,0,4
27,living,1,0,1,1,5
27,living,1,1,0,0,4
27,living,1,1,0,1,4
27,living,1,1,1,0,5
27,living,1,1,1,1,6
28,living,0,0,0,0,2
28,living,0,0,0,1,3
28,living,0,0,1,0,3
28,living,0,0,1,1,1
28,living,0,1,0,0,3
28,living,0,1,0,1,3
28,living,0,1,1,0,3
28,living,0,1,1,1,2
28,living,1,0,0,0,1
28,living,1,0,0,1,5
28,living,1,0,1,0,3
28,living,1,0,1,1,2
28,living,1,1,0,0,2
28,living,1,1,0,1,3
28,living,1,1,1,0,4
28,living,1,1,1,1,5
29,living,0,0,0,0,0
29,living,0,0,0,1,0
29,living,0,0,1,0,5
29,living,0,0,1,1,6
29,living,0,1,0,0,0
29,living,0,1,0,1,2
29,living,0,1,1,0,4
29,living,0,1,1,1,1
29,living,1,0,0,0,0
29,living,1,0,0,1,0
29,living,1,0,1,0,2
29,living,1,0,1,1,1
29,living,1,1,0,0,0
29,living,1,1,0,1,0
29,living,1,1,1,0,5
29,living,1,1,1,1,6
30,living,0,0,0,0,0
30,living,0,0,0,1,0
30,living,0,0,1,0,5
30,living,0,0,1,1,5
30,living,0,1,0,0,0
30,living,0,1,0,1,1
30,living,0,1,1,0,6
30,living,0,1,1,1,6
30,living,1,0,0,0,0
30,living,1,0,0,1,1
30,living,1,0,1,0,5
30,living,1,0,1,1,6
30,living,1,1,0,0,1
30,living,1,1,0,1,0
30,living,1,1,1,0,6
30,living,1,1,1,1,6
31,living,0,0,0,0,1
31,living,0,0,0,1,1
31,living,0,0,1,0,3
31,living,0,0,1,1,1
31,living,0,1,0,0,0
31,living,0,1,0,1,0
31,living,0,1,1,0,4
31,living,0,1,1,1,3
31,living,1,0,0,0,3
31,living,1,0,0,1,3
31,living,1,0,1,0,5
31,living,1,0,1,1,5
31,living,1,1,0,0,4
31,living,1,1,0,1,5
31,living,1,1,1,0,6
31,living,1,1,1,1,6
32,living,0,0,0,0,0
32,living,0,0,0,1,0
32,living,0,0,1,0,4
32,living,0,0,1,1,3
32,living,0,1,0,0,0
32,living,0,1,0,1,0
32,living,0,1,1,0,2
32,living,0,1,1,1,4
32,living,1,0,0,0,0
32,living,1,0,0,1,1
32,living,1,0,1,0,2
32,living,1,0,1,1,5
32,living,1,1,0,0,1
32,living,1,1,0,1,0
32,living,1,1,1,0,4
32,living,1,1,1,1,6
33,living,0,0,0,0,0
33,living,0,0,0,1,3
33,living,0,0,1,0,5
33,living,0,0,1,1,3
33,living,0,1,0,0,2
33,living,0,1,0,1,2
33,living,0,1,1,0,6
33,living,0,1,1,1,5
33,living,1,0,0,0,0
33,living,1,0,0,1,3
33,living,1,0,1,0,5
33,living,1,0,1,1,5
33,living,1,1,0,0,0
33,living,1,1,0,1,3
33,living,1,1,1,0,6
33,living,1,1,1,1,6
34,artifact,0,0,0,0,0
34,artifact,0,0,0,1,1
34,artifact,0,0,1,0,1
34,artifact,0,0,1,1,1
34,artifact,0,1,0,0,0
34,artifact,0,1,0,1,1
34,artifact,0,1,1,0,3
34,artifact,0,1,1,1,3
34,artifact,1,0,0,0,1
34,artifact,1,0,0,1,0
34,artifact,1,0,1,0,3
34,artifact,1,0,1,1,3
34,artifact,1,1,0,0,2
34,artifact,1,1,0,1,0
34,artifact,1,1,1,0,4
34,artifact,1,1,1,1,6
35,artifact,0,0,0,0,0
35,artifact,0,0,0,1,0
35,artifact,0,0,1,0,3
35,artifact,0,0,1,1,6
35,artifact,0,1,0,0,0
35,artifact,0,1,0,1,1
35,artifact,0,1,1,0,5
35,artifact,0,1,1,1,6
35,artifact,1,0,0,0,0
35,artifact,1,0,0,1,0
35,artifact,1,0,1,0,3
35,artifact,1,0,1,1,6
35,artifact,1,1,0,0,1
35,artifact,1,1,0,1,0
35,artifact,1,1,1,0,6
35,artifact,1,1,1,1,6
36,artifact,0,0,0,0,0
36,artifact,0,0,0,1,0
36,artifact,0,0,1,0,6
36,artifact,0,0,1,1,6
36,artifact,0,1,0,0,0
36,artifact,0,1,0,1,0
36,artifact,0,1,1,0,6
36,artifact,0,1,1,1,6
36,artifact,1,0,0,0,0
36,artifact,1,0,0,1,0
36,artifact,1,0,1,0,6
36,artifact,1,0,1,1,6
36,artifact,1,1,0,0,0
36,artifact,1,1,0,1,0
36,artifact,1,1,1,0,6
36,artifact,1,1,1,1,6
37,artifact,0,0,0,0,0
37,artifact,0,0,0,1,0
37,artifact,0,0,1,0,0
37,artifact,0,0,1,1,3
37,artifact,0,1,0,0,0
37,artifact,0,1,0,1,3
37,artifact,0,1,1,0,3
37,artifact,0,1,1,1,6
37,artifact,1,0,0,0,0
37,artifact,1,0,0,1,3
37,artifact,1,0,1,0,0
37,artifact,1,0,1,1,6
37,artifact,1,1,0,0,3
37,artifact,1,1,0,1,3
37,artifact,1,1,1,0,6
37,artifact,1,1,1,1,6
38,artifact,0,0,0,0,0
38,artifact,0,0,0,1,0
38,artifact,0,0,1,0,6
38,artifact,0,0,1,1,0
38,artifact,0,1,0,0,0
38,artifact,0,1,0,1,3
38,artifact,0,1,1,0,3
38,artifact,0,1,1,1,3
38,artifact,1,0,0,0,0
38,artifact,1,0,0,1,0
38,artifact,1,0,1,0,0
38,artifact,1,0,1,1,3
38,artifact,1,1,0,0,3
38,artifact,1,1,0,1,3
38,artifact,1,1,1,0,6
38,artifact,1,1,1,1,6
39,artifact,0,0,0,0,0
39,artifact,0,0,0,1,0
39,artifact,0,0,1,0,0
39,artifact,0,0,1,1,0
39,artifact,0,1,0,0,0
39,artifact,0,1,0,1,0
39,artifact,0,1,1,0,3
39,artifact,0,1,1,1,3
39,artifact,1,0,0,0,0
39,artifact,1,0,0,1,0
39,artifact,1,0,1,0,6
39,artifact,1,0,1,1,2
39,artifact,1,1,0,0,0
39,artifact,1,1,0,1,0
39,artifact,1,1,1,0,6
39,artifact,1,1,1,1,6
40,artifact,0,0,0,0,0
40,artifact,0,0,0,1,1
40,artifact,0,0,1,0,0
40,artifact,0,0,1,1,3
40,artifact,0,1,0,0,1
40,artifact,0,1,0,1,3
40,artifact,0,1,1,0,2
40,artifact,0,1,1,1,4
40,artifact,1,0,0,0,2
40,artifact,1,0,0,1,2
40,artifact,1,0,1,0,2
40,artifact,1,0,1,1,4
40,artifact,1,1,0,0,2
40,artifact,1,1,0,1,4
40,artifact,1,1,1,0,4
40,artifact,1,1,1,1,6
41,artifact,0,0,0,0,1
41,artifact,0,0,0,1,0
41,artifact,0,0,1,0,4
41,artifact,0,0,1,1,5
41,artifact,0,1,0,0,1
41,artifact,0,1,0,1,1
41,artifact,0,1,1,0,4
41,artifact,0,1,1,1,5
41,artifact,1,0,0,0,0
41,artifact,1,0,0,1,0
41,artifact,1,0,1,0,4
41,artifact,1,0,1,1,4
41,artifact,1,1,0,0,1
41,artifact,1,1,0,1,4
41,artifact,1,1,1,0,5
41,artifact,1,1,1,1,6
42,artifact,0,0,0,0,0
42,artifact,0,0,0,1,0
42,artifact,0,0,1,0,0
42,artifact,0,0,1,1,0
42,artifact,0,1,0,0,0
42,artifact,0,1,0,1,0
42,artifact,0,1,1,0,6
42,artifact,0,1,1,1,6
42,artifact,1,0,0,0,0
42,artifact,1,0,0,1,0
42,artifact,1,0,1,0,6
42,artifact,1,0,1,1,0
42,artifact,1,1,0,0,0
42,artifact,1,1,0,1,0
42,artifact,1,1,1,0,6
42,artifact,1,1,1,1,6
43,artifact,0,0,0,0,0
43,artifact,0,0,0,1,2
43,artifact,0,0,1,0,0
43,artifact,0,0,1,1,2
43,artifact,0,1,0,0,1
43,artifact,0,1,0,1,0
43,artifact,0,1,1,0,2
43,artifact,0,1,1,1,4
43,artifact,1,0,0,0,0
43,artifact,1,0,0,1,1
43,artifact,1,0,1,0,1
43,artifact,1,0,1,1,5
43,artifact,1,1,0,0,3
43,artifact,1,1,0,1,5
43,artifact,1,1,1,0,5
43,artifact,1,1,1,1,6
44,artifact,0,0,0,0,0
44,artifact,0,0,0,1,0
44,artifact,0,0,1,0,2
44,artifact,0,0,1,1,4
44,artifact,0,1,0,0,0
44,artifact,0,1,0,1,1
44,artifact,0,1,1,0,3
44,artifact,0,1,1,1,5
44,artifact,1,0,0,0,0
44,artifact,1,0,0,1,2
44,artifact,1,0,1,0,4
44,artifact,1,0,1,1,5
44,artifact,1,1,0,0,1
44,artifact,1,1,0,1,4
44,artifact,1,1,1,0,5
44,artifact,1,1,1,1,6
45,artifact,0,0,0,0,0
45,artifact,0,0,0,1,1
45,artifact,0,0,1,0,5
45,artifact,0,0,1,1,6
45,artifact,0,1,0,0,0
45,artifact,0,1,0,1,0
45,artifact,0,1,1,0,5
45,artifact,0,1,1,1,4
45,artifact,1,0,0,0,0
45,artifact,1,0,0,1,0
45,artifact,1,0,1,0,3
45,artifact,1,0,1,1,6
45,artifact,1,1,0,0,0
45,artifact,1,1,0,1,2
45,artifact,1,1,1,0,6
45,artifact,1,1,1,1,6
46,artifact,0,0,0,0,0
46,artifact,0,0,0,1,0
46,artifact,0,0,1,0,2
46,artifact,0,0,1,1,2
46,artifact,0,1,0,0,0
46,artifact,0,1,0,1,1
46,artifact,0,1,1,0,6
46,artifact,0,1,1,1,4
46,artifact,1,0,0,0,1
46,artifact,1,0,0,1,2
46,artifact,1,0,1,0,4
46,artifact,1,0,1,1,4
46,artifact,1,1,0,0,3
46,artifact,1,1,0,1,2
46,artifact,1,1,1,0,6
46,artifact,1,1,1,1,6
47,artifact,0,0,0,0,1
47,artifact,0,0,0,1,2
47,artifact,0,0,1,0,4
47,artifact,0,0,1,1,5
47,artifact,0,1,0,0,0
47,artifact,0,1,0,1,0
47,artifact,0,1,1,0,5
47,artifact,0,1,1,1,5
47,artifact,1,0,0,0,0
47,artifact,1,0,0,1,1
47,artifact,1,0,1,0,4
47,artifact,1,0,1,1,2
47,artifact,1,1,0,0,2
47,artifact,1,1,0,1,4
47,artifact,1,1,1,0,6
47,artifact,1,1,1,1,6
48,artifact,0,0,0,0,0
48,artifact,0,0,0,1,0
48,artifact,0,0,1,0,1
48,artifact,0,0,1,1,4
48,artifact,0,1,0,0,1
48,artifact,0,1,0,1,2
48,artifact,0,1,1,0,3
48,artifact,0,1,1,1,4
48,artifact,1,0,0,0,1
48,artifact,1,0,0,1,3
48,artifact,1,0,1,0,3
48,artifact,1,0,1,1,4
48,artifact,1,1,0,0,2
48,artifact,1,1,0,1,4
48,artifact,1,1,1,0,4
48,artifact,1,1,1,1,6
49,artifact,0,0,0,0,0
49,artifact,0,0,0,1,1
49,artifact,0,0,1,0,1
49,artifact,0,0,1,1,0
49,artifact,0,1,0,0,0
49,artifact,0,1,0,1,3
49,artifact,0,1,1,0,2
49,artifact,0,1,1,1,5
49,artifact,1,0,0,0,0
49,artifact,1,0,0,1,0
49,artifact,1,0,1,0,1
49,artifact,1,0,1,1,2
49,artifact,1,1,0,0,3
49,artifact,1,1,0,1,5
49,artifact,1,1,1,0,4
49,artifact,1,1,1,1,6
50,artifact,0,0,0,0,1
50,artifact,0,0,0,1,2
50,artifact,0,0,1,0,2
50,artifact,0,0,1,1,3
50,artifact,0,1,0,0,1
50,artifact,0,1,0,1,3
50,artifact,0,1,1,0,4
50,artifact,0,1,1,1,3
50,artifact,1,0,0,0,1
50,artifact,1,0,0,1,4
50,artifact,1,0,1,0,3
50,artifact,1,0,1,1,4
50,artifact,1,1,0,0,3
50,artifact,1,1,0,1,4
50,artifact,1,1,1,0,5
50,artifact,1,1,1,1,6
51,artifact,0,0,0,0,0
51,artifact,0,0,0,1,0
51,artifact,0,0,1,0,4
51,artifact,0,0,1,1,1
51,artifact,0,1,0,0,0
51,artifact,0,1,0,1,0
51,artifact,0,1,1,0,1
51,artifact,0,1,1,1,2
51,artifact,1,0,0,0,1
51,artifact,1,0,0,1,1
51,artifact,1,0,1,0,2
51,artifact,1,0,1,1,5
51,artifact,1,1,0,0,1
51,artifact,1,1,0,1,3
51,artifact,1,1,1,0,3
51,artifact,1,1,1,1,6
52,artifact,0,0,0,0,0
52,artifact,0,0,0,1,0
52,artifact,0,0,1,0,1
52,artifact,0,0,1,1,4
52,artifact,0,1,0,0,0
52,artifact,0,1,0,1,0
52,artifact,0,1,1,0,4
52,artifact,0,1,1,1,3
52,artifact,1,0,0,0,0
52,artifact,1,0,0,1,3
52,artifact,1,0,1,0,5
52,artifact,1,0,1,1,6
52,artifact,1,1,0,0,3
52,artifact,1,1,0,1,4
52,artifact,1,1,1,0,6
52,artifact,1,1,1,1,6
53,artifact,0,0,0,0,0
53,artifact,0,0,0,1,1
53,artifact,0,0,1,0,1
53,artifact,0,0,1,1,2
53,artifact,0,1,0,0,2
53,artifact,0,1,0,1,2
53,artifact,0,1,1,0,3
53,artifact,0,1,1,1,2
53,artifact,1,0,0,0,3
53,artifact,1,0,0,1,3
53,artifact,1,0,1,0,4
53,artifact,1,0,1,1,4
53,artifact,1,1,0,0,3
53,artifact,1,1,0,1,4
53,artifact,1,1,1,0,4
53,artifact,1,1,1,1,6
54,artifact,0,0,0,0,0
54,artifact,0,0,0,1,0
54,artifact,0,0,1,0,2
54,artifact,0,0,1,1,1
54,artifact,0,1,0,0,1
54,artifact,0,1,0,1,2
54,artifact,0,1,1,0,2
54,artifact,0,1,1,1,3
54,artifact,1,0,0,0,2
54,artifact,1,0,0,1,1
54,artifact,1,0,1,0,3
54,artifact,1,0,1,1,4
54,artifact,1,1,0,0,2
54,artifact,1,1,0,1,3
54,artifact,1,1,1,0,5
54,artifact,1,1,1,1,6
55,artifact,0,0,0,0,0
55,artifact,0,0,0,1,0
55,artifact,0,0,1,0,5
55,artifact,0,0,1,1,5
55,artifact,0,1,0,0,3
55,artifact,0,1,0,1,3
55,artifact,0,1,1,0,6
55,artifact,0,1,1,1,6
55,artifact,1,0,0,0,1
55,artifact,1,0,0,1,2
55,artifact,1,0,1,0,2
55,artifact,1,0,1,1,4
55,artifact,1,1,0,0,1
55,artifact,1,1,0,1,4
55,artifact,1,1,1,0,6
55,artifact,1,1,1,1,6
56,artifact,0,0,0,0,0
56,artifact,0,0,0,1,0
56,artifact,0,0,1,0,0
56,artifact,0,0,1,1,3
56,artifact,0,1,0,0,0
56,artifact,0,1,0,1,0
56,artifact,0,1,1,0,3
56,artifact,0,1,1,1,3
56,artifact,1,0,0,0,0
56,artifact,1,0,0,1,0
56,artifact,1,0,1,0,3
56,artifact,1,0,1,1,0
56,artifact,1,1,0,0,0
56,artifact,1,1,0,1,0
56,artifact,1,1,1,0,0
56,artifact,1,1,1,1,6
57,artifact,0,0,0,0,0
57,artifact,0,0,0,1,0
57,artifact,0,0,1,0,3
57,artifact,0,0,1,1,3
57,artifact,0,1,0,0,0
57,artifact,0,1,0,1,0
57,artifact,0,1,1,0,6
57,artifact,0,1,1,1,3
57,artifact,1,0,0,0,0
57,artifact,1,0,0,1,0
57,artifact,1,0,1,0,3
57,artifact,1,0,1,1,6
57,artifact,1,1,0,0,0
57,artifact,1,1,0,1,0
57,artifact,1,1,1,0,6
57,artifact,1,1,1,1,6
58,artifact,0,0,0,0,0
58,artifact,0,0,0,1,0
58,artifact,0,0,1,0,6
58,artifact,0,0,1,1,3
58,artifact,0,1,0,0,0
58,artifact,0,1,0,1,0
58,artifact,0,1,1,0,3
58,artifact,0,1,1,1,3
58,artifact,1,0,0,0,0
58,artifact,1,0,0,1,0
58,artifact,1,0,1,0,6
58,artifact,1,0,1,1,3
58,artifact,1,1,0,0,0
58,artifact,1,1,0,1,0
58,artifact,1,1,1,0,6
58,artifact,1,1,1,1,6
59,artifact,0,0,0,0,0
59,artifact,0,0,0,1,1
59,artifact,0,0,1,0,5
59,artifact,0,0,1,1,3
59,artifact,0,1,0,0,0
59,artifact,0,1,0,1,3
59,artifact,0,1,1,0,5
59,artifact,0,1,1,1,5
59,artifact,1,0,0,0,0
59,artifact,1,0,0,1,2
